start_time,range_min,duct_time,forcus_f,UHR_file_name,lsm,duct_wid_data_n,IorD,Plotted
2017-04-01/01:45:00,15,,,kuma,,,,
2017-04-03/10:25:00,40,,,kuma,,,,
2017-04-04/22:10:00,15,,,kuma,,,,
2017-04-05/10:25:00,30,,,kuma,,,,
2017-04-07/16:05:00,50,,,kuma,,,,
2017-04-11/08:00:00,20,,,kuma,,,,
2017-04-12/22:10:00,30,,,kuma,,,,
2017-04-13/14:40:00,20,,,kuma,,,,
2017-04-14/00:00:00,30,,,kuma,,,,
2017-04-14/11:55:00,15,,,kuma,,,,
2017-04-17/03:20:00,40,,,kuma,,,,
2017-04-24/17:30:00,10,,,kuma,,,,
2017-04-30/07:00:00,20,,,kuma,,,,