start_time,range_min,duct_time,forcus_f,UHR_file_name,lsm,duct_wid_data_n,IorD,Plotted
2018-06-06/11:25:00,20,2018-06-06/11:41:33,"[2.,3.,4.,5.,6.]",kuma,,,I,
2017-04-12/22:15:,,,,,,,I,
2017-04-11/08:00:00,,,,,,,I,
2017-05-15/06:10:00,,,,,,,,
2017-05-15/22:25:00,,,,,,,,
2017-05-26/07:25:00,,,,,,,,
2017-05-30/15:25:00,,,,,,,,
2017-05-30/15:45:00,,,,,,,,
2017-06-18/13:50:00,,,,,,,,
2017-06-20/04:00:00,,,,,,,,
2017-06-20/04:00:00,,,,,,,,
2017-07-03/04:25:00,,,,,,,,
2017-07-26/20:15:00,,,,,,,,